timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775997393217,796,HTTP Request 1,200,OK,config 1 1-1,text,true,,231,168,6,13,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,796,0,65
1775997393314,774,HTTP Request 1,200,OK,config 1 1-2,text,true,,231,168,5,10,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,773,0,28
1775997393457,749,HTTP Request 1,200,OK,config 1 1-3,text,true,,231,168,4,9,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,749,0,15
1775997393699,825,HTTP Request 1,200,OK,config 1 1-4,text,true,,231,168,3,4,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,825,0,72
1775997393851,810,HTTP Request 1,200,OK,config 1 1-5,text,true,,231,168,2,2,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,810,0,59
1775997393986,778,HTTP Request 1,200,OK,config 1 1-6,text,true,,231,168,1,1,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,778,0,35
1775997415510,783,HTTP Request 1,200,OK,config 1 1-1,text,true,,231,168,6,13,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,783,0,54
1775997415617,778,HTTP Request 1,200,OK,config 1 1-2,text,true,,231,168,5,11,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,778,0,40
1775997415783,746,HTTP Request 1,200,OK,config 1 1-3,text,true,,231,168,4,9,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,746,0,14
1775997416116,884,HTTP Request 1,200,OK,config 1 1-5,text,false,"The operation lasted too long: It took 884 milliseconds, but should not have lasted longer than 840 milliseconds.",231,168,3,5,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,884,0,98
1775997415950,1050,HTTP Request 1,200,OK,config 1 1-4,text,false,"The operation lasted too long: It took 1,050 milliseconds, but should not have lasted longer than 840 milliseconds.",231,168,3,5,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,1050,0,98
1775997416283,770,HTTP Request 1,200,OK,config 1 1-6,text,true,,231,168,1,1,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,770,0,28
1775997421518,792,HTTP Request 1,200,OK,config 1 1-1,text,true,,231,168,6,13,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,792,0,49
1775997421620,772,HTTP Request 1,200,OK,config 1 1-2,text,true,,231,168,5,12,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,772,0,26
1775997421788,765,HTTP Request 1,200,OK,config 1 1-3,text,true,,231,168,4,8,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,765,0,14
1775997421954,825,HTTP Request 1,200,OK,config 1 1-4,text,true,,231,168,3,4,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,825,0,58
1775997422121,776,HTTP Request 1,200,OK,config 1 1-5,text,true,,231,168,2,3,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,775,0,21
1775997422288,822,HTTP Request 1,200,OK,config 1 1-6,text,true,,231,168,1,1,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,822,0,63
1775997462696,780,HTTP Request 1,200,OK,config 1 1-1,text,true,,231,168,6,13,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,780,0,49
1775997462800,762,HTTP Request 1,200,OK,config 1 1-2,text,true,,231,168,6,11,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,762,0,30
1775997462965,748,HTTP Request 1,200,OK,config 1 1-3,text,true,,231,168,6,9,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,748,0,15
1775997463132,779,HTTP Request 1,200,OK,config 1 1-4,text,true,,231,168,6,8,http://stload.se.ifmo.ru:8080/?token=518472196&&user=-1356113187&config=1,779,0,39
